Date;Time;Severity;TID;This;Function;Message
2023/02/02;16:08:36.122;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.123;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.124;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.125;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.126;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.127;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.128;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.129;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.130;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.131;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.132;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.133;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.134;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.135;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.136;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.137;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.138;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
2023/02/02;16:08:36.139;WARN;9469;0;agree_joint_controller::homing_control@699;"MOVING BACK FROM ENDSTOP..."
